run_id,basket_uid,baseline_tag,close_reason,close_time,main_side,final_pl_anchor,move_fav_max_1h,move_adv_max_1h,coverage_1h,move_fav_max_4h,move_adv_max_4h,coverage_4h,move_fav_max_24h,move_adv_max_24h,coverage_24h
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.30T13:14:04#142#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.30 13:18:38,BUY,405.00,8.77,11.46,1.00,43.82,20.15,1.00,82.60,54.12,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.30T13:22:27#144#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.30 13:50:39,BUY,405.00,45.42,9.86,1.00,45.42,22.96,1.00,84.20,52.52,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.30T13:55:00#146#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.30 14:10:41,BUY,400.00,43.52,2.34,1.00,43.52,24.86,1.00,82.30,54.42,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.30T15:03:03#148#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.30 15:03:28,BUY,402.00,27.23,-3.46,1.00,27.23,39.26,1.00,67.90,68.82,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.30T16:09:19#150#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.30 16:09:31,BUY,403.00,7.10,49.93,1.00,7.10,54.34,1.00,52.82,83.90,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.30T16:23:21#152#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.30 16:23:40,BUY,405.00,9.30,52.14,1.00,9.30,52.14,1.00,55.02,81.70,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T02:20:00#154#-1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 03:16:37,SELL,417.00,20.74,67.06,1.00,20.74,115.98,1.00,20.74,208.99,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T07:45:25#156#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 07:56:03,BUY,420.00,14.11,19.84,1.00,14.11,23.99,1.00,156.64,38.14,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T08:00:25#158#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 08:02:15,BUY,401.00,13.73,20.22,1.00,13.73,24.37,1.00,156.26,38.52,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T08:09:05#160#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 08:26:04,BUY,405.00,14.09,14.21,1.00,14.09,24.01,1.00,156.62,38.16,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T08:59:24#162#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 11:06:04,BUY,401.00,3.66,8.47,1.00,26.02,42.14,1.00,176.22,42.14,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T11:56:19#164#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 12:04:36,BUY,402.00,0.96,21.02,1.00,26.40,41.76,1.00,176.60,41.76,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T12:10:27#166#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 14:20:38,BUY,407.00,26.53,2.29,1.00,59.26,3.29,1.00,176.73,3.29,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T15:16:02#168#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 15:18:26,BUY,400.00,11.90,10.27,1.00,52.28,10.27,1.00,184.95,10.27,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.31T18:56:05#170#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.03.31 19:01:43,BUY,402.00,39.00,9.75,1.00,70.32,9.75,1.00,173.88,9.75,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T02:06:03#172#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.01 02:12:35,BUY,403.00,25.59,7.43,1.00,44.85,7.43,1.00,113.63,12.31,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T09:10:17#174#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.01 09:11:38,BUY,403.00,41.36,-0.95,1.00,56.00,-0.95,1.00,108.50,137.77,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T12:00:52#176#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.01 12:02:37,BUY,409.00,-1.30,15.86,1.00,33.99,15.86,1.00,71.29,174.98,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T12:06:00#178#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.01 13:23:39,BUY,408.00,15.54,6.74,1.00,34.05,12.82,1.00,71.35,174.92,0.96
W3_ON_ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.01T15:08:04#180#1#1,V1_MOSTLY_IDENTICAL,BASKET_CLOSE,2026.04.01 15:35:29,BUY,402.00,6.83,30.94,1.00,43.63,30.94,1.00,53.23,193.04,0.96
