run_id,basket_uid,baseline_tag,detect_time,detect_floating,threshold_yen,detect_overshoot_yen,close_time,detect_to_close_min,close_request_count,first_request_time,request_span_min,threshold_gap_yen_at_close,final_pl_anchor,close_reason
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.10T13:15:00#18#-1#1,V1_MOSTLY_IDENTICAL,2026.04.10 15:18:41,-3825.00,3821.44,-4,2026.04.10 15:18:41,0.0,1,2026-04-10T15:18:41,0,0.00,-3825.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.13T03:05:02#24#0#2,V1_MOSTLY_IDENTICAL,2026.04.17 23:53:00,-3564.00,3563.76,-0,2026.04.17 23:53:00,0.0,1,2026-04-17T23:53:00,0,0.00,-3564.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.20T09:56:04#40#0#2,V1_MOSTLY_IDENTICAL,2026.04.24 01:00:00,-3427.00,3424.40,-3,2026.04.24 01:05:00,5.0,688,2026-04-24T01:00:00,5.0,-4.00,-3431.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.27T20:23:53#64#-1#1,V1_MOSTLY_IDENTICAL,2026.04.28 03:04:42,-3400.00,3392.24,-8,2026.04.28 03:04:42,0.0,1,2026-04-28T03:04:42,0,0.00,-3400.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T02:46:04#74#0#2,V1_MOSTLY_IDENTICAL,2026.05.07 01:00:00,-3231.00,3216.80,-14,2026.05.07 01:05:00,5.0,693,2026-05-07T01:00:00,5.0,-33.00,-3264.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.11T13:12:28#126#0#2,V1_MOSTLY_IDENTICAL,2026.05.14 01:00:00,-3742.00,3535.76,-206,2026.05.14 01:05:00,5.0,618,2026-05-14T01:00:00,5.0,15.00,-3727.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T19:31:03#152#0#2,V1_MOSTLY_IDENTICAL,2026.05.22 01:00:00,-3606.00,3503.92,-102,2026.05.22 01:05:00,5.0,485,2026-05-22T01:00:00,5.0,3.00,-3603.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.02T02:52:01#2#1#1,NEW_BASELINE,2026.03.02 03:00:28,-4005.00,4000.00,-5,2026.03.02 03:00:28,0.0,1,2026-03-02T03:00:28,0,0.00,-4005.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.03T03:45:23#8#0#2,NEW_BASELINE,2026.03.09 00:01:00,-3752.00,3728.96,-23,2026.03.10 01:05:00,1504.0,21442,2026-03-09T00:01:00,1504.0,-30.00,-3782.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.11T03:51:04#12#0#2,NEW_BASELINE,2026.03.16 00:02:00,-3585.00,3426.40,-159,2026.03.17 01:06:00,1504.0,12393,2026-03-16T00:02:00,1504.0,141.00,-3444.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.18T18:08:01#30#0#2,NEW_BASELINE,2026.03.23 00:04:00,-3369.00,3320.56,-48,2026.03.24 01:06:00,1502.0,19949,2026-03-23T00:04:00,1502.0,42.00,-3327.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.25T14:16:03#34#1#1,NEW_BASELINE,2026.03.25 14:23:40,-3066.00,3054.40,-12,2026.03.25 14:23:40,0.0,1,2026-03-25T14:23:40,0,0.00,-3066.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.27T03:10:01#62#0#2,NEW_BASELINE,2026.04.02 01:03:00,-3205.00,3128.56,-76,2026.04.02 01:03:00,0.0,1,2026-04-02T01:03:00,0,0.00,-3205.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:45:09#70#0#2,NEW_BASELINE,2026.04.09 01:00:00,-2996.00,2920.88,-75,2026.04.09 01:05:00,5.0,824,2026-04-09T01:00:00,5.0,-46.00,-3042.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.10T13:15:00#78#-1#1,NEW_BASELINE,2026.04.10 14:44:17,-2727.00,2726.16,-1,2026.04.10 14:44:17,0.0,1,2026-04-10T14:44:17,0,0.00,-2727.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.13T03:05:02#84#0#2,NEW_BASELINE,2026.04.16 01:00:00,-2767.00,2556.32,-211,2026.04.16 01:05:00,5.0,844,2026-04-16T01:00:00,5.0,7.00,-2760.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.17T04:53:53#96#0#2,NEW_BASELINE,2026.04.23 01:00:00,-2664.00,2416.64,-247,2026.04.23 01:05:00,5.0,822,2026-04-23T01:00:00,5.0,10.00,-2654.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.23T13:57:09#104#-1#1,NEW_BASELINE,2026.04.23 14:46:28,-2250.00,2245.68,-4,2026.04.23 14:46:28,0.0,1,2026-04-23T14:46:28,0,0.00,-2250.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAY_M5_20260501_20260529,GOLD#2026.05.04T14:51:29#18#0#2,V1_MOSTLY_IDENTICAL,2026.05.11 01:03:00,-4389.00,4259.68,-129,2026.05.11 01:03:00,0.0,1,2026-05-11T01:03:00,0,0.00,-4389.00,hard stop emergency close
W3_ON_ML_C_SHADOW_ON_50000_MAY_M5_20260501_20260529,GOLD#2026.05.18T04:42:03#106#0#2,V1_MOSTLY_IDENTICAL,2026.05.28 01:00:00,-5549.00,5234.72,-314,2026.05.28 01:05:00,5.0,550,2026-05-28T01:00:00,5.0,1.00,-5548.00,hard stop emergency close
