run_id,basket_uid,baseline_tag,hedge_time,floating_at_hedge,threshold_yen,distance_to_hs_yen,pct_threshold_consumed,worst_prehedge_at_hedge,min_to_hedge_from_open,final_close_reason,final_worst_lifecycle
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.01T02:46:04#74#0#2,V1_MOSTLY_IDENTICAL,2026.05.01 04:22:23,-2524.00,3216.80,692.80,78.5,-2796.00,NA,hard stop emergency close,-3264.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.11T13:12:28#126#0#2,V1_MOSTLY_IDENTICAL,2026.05.11 15:21:37,-3075.00,3535.76,460.76,87.0,-3001.00,NA,hard stop emergency close,-3742.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.15T19:31:03#152#0#2,V1_MOSTLY_IDENTICAL,2026.05.15 20:21:40,-2711.00,3503.92,792.92,77.4,-2628.00,NA,hard stop emergency close,-3607.00
W3_ON_ML_C_SHADOW_ON_50000_APR_MAY_M5_20260401_20260529,GOLD#2026.05.25T04:41:05#156#0#2,V1_MOSTLY_IDENTICAL,2026.05.25 08:43:42,-2502.00,3215.68,713.68,77.8,-2952.00,NA,NO_ANCHOR,NA
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.03T03:45:23#8#0#2,NEW_BASELINE,2026.03.03 03:47:44,-2896.00,3728.96,832.96,77.7,-3038.00,NA,hard stop emergency close,-4005.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.11T03:51:04#12#0#2,NEW_BASELINE,2026.03.11 04:10:01,-2661.00,3426.40,765.40,77.7,-2583.00,NA,hard stop emergency close,-3609.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.18T18:08:01#30#0#2,NEW_BASELINE,2026.03.18 18:45:38,-2573.00,3320.56,747.56,77.5,-2493.00,NA,hard stop emergency close,-3411.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.03.27T03:10:01#62#0#2,NEW_BASELINE,2026.03.27 03:28:42,-2434.00,3128.56,694.56,77.8,-2351.00,NA,hard stop emergency close,-3205.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.06T03:45:09#70#0#2,NEW_BASELINE,2026.04.06 04:01:41,-2269.00,2920.88,651.88,77.7,-2196.00,NA,hard stop emergency close,-3042.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.13T03:05:02#84#0#2,NEW_BASELINE,2026.04.13 03:34:39,-2131.00,2556.32,425.32,83.4,-2056.00,NA,hard stop emergency close,-2767.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.17T04:53:53#96#0#2,NEW_BASELINE,2026.04.17 07:35:14,-1889.00,2416.64,527.64,78.2,-1862.00,NA,hard stop emergency close,-2664.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.24T07:46:04#106#0#2,NEW_BASELINE,2026.04.24 08:27:22,-1611.00,2065.68,454.68,78.0,-1552.00,NA,Hedged basket time exit,-1626.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.24T20:21:05#110#0#2,NEW_BASELINE,2026.04.24 21:28:30,-1525.00,1935.76,410.76,78.8,-1452.00,NA,Hedged basket danger time exit,-1908.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.29T05:02:03#162#0#2,NEW_BASELINE,2026.04.29 05:18:42,-1781.00,2268.08,487.08,78.5,-1708.00,NA,Hedged basket time exit,-1786.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.04.29T13:10:05#168#0#2,NEW_BASELINE,2026.04.29 13:30:28,-1691.00,2145.44,454.44,78.8,-1614.00,NA,Hedged basket time exit,-1696.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.01T02:46:04#172#0#2,NEW_BASELINE,2026.05.01 03:31:01,-1584.00,2011.44,427.44,78.7,-1746.00,NA,Hedged basket time exit,-1746.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.01T13:16:05#180#0#2,NEW_BASELINE,2026.05.01 13:31:42,-1519.00,1923.12,404.12,79.0,-1447.00,NA,Hedged basket danger time exit,-1526.00
W3_ON_ML_C_SHADOW_ON_50000_MAR_MAY_M5_20260301_20260529,GOLD#2026.05.04T04:47:25#184#0#2,NEW_BASELINE,2026.05.04 04:59:15,-1630.00,1802.16,172.16,90.4,-1558.00,NA,Hedged basket time exit,-1639.00
W3_ON_ML_C_SHADOW_ON_50000_MAY_M5_20260501_20260529,GOLD#2026.05.04T14:51:29#18#0#2,V1_MOSTLY_IDENTICAL,2026.05.04 15:21:31,-3269.00,4259.68,990.68,76.7,-3197.00,NA,hard stop emergency close,-4389.00
W3_ON_ML_C_SHADOW_ON_50000_MAY_M5_20260501_20260529,GOLD#2026.05.18T04:42:03#106#0#2,V1_MOSTLY_IDENTICAL,2026.05.18 04:51:29,-4011.00,5234.72,1223.72,76.6,-3930.00,NA,hard stop emergency close,-5553.00
