run_id,basket_uid,baseline_tag,close_reason,final_pl_anchor,worst_prehedge,worst_posthedge,worst_lifecycle,recovery_from_worst
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.26T11:03:03#60#1#1,V1_IDENTICAL,basket close,404.00,-302.00,-87.00,-302.00,706
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.26T11:52:21#62#1#1,V1_IDENTICAL,basket close,402.00,-598.00,-63.00,-598.00,1000
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.26T13:20:03#64#1#1,V1_IDENTICAL,basket close,402.00,-566.00,-79.00,-566.00,968
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.26T13:44:25#66#1#1,V1_IDENTICAL,basket close,410.00,-82.00,-81.00,-82.00,492
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.26T16:31:28#68#1#1,V1_IDENTICAL,basket close,401.00,-89.00,-79.00,-89.00,490
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.26T16:36:03#70#1#1,V1_IDENTICAL,basket close,404.00,-1014.00,-81.00,-1014.00,1418
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.29T06:33:52#72#1#1,V1_IDENTICAL,basket close,400.00,-574.00,-81.00,-574.00,974
W3_ON_JUNE_C_SHADOW_ON_100000_M5_20260601_20260630,GOLD#2026.06.29T06:51:25#74#1#1,V1_IDENTICAL,basket close,403.00,-89.00,-87.00,-89.00,492
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T04:45:24#2#-1#1,V1_IDENTICAL,basket close,410.00,-65.00,-65.00,-65.00,475
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T05:08:09#4#-1#1,V1_IDENTICAL,basket close,400.00,-89.00,-86.00,-89.00,489
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T05:13:59#6#-1#1,V1_IDENTICAL,basket close,410.00,-380.00,-91.00,-380.00,790
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T05:38:00#8#-1#1,V1_IDENTICAL,basket close,405.00,-195.00,-94.00,-195.00,600
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T06:31:26#10#-1#1,V1_IDENTICAL,basket close,405.00,-252.00,-89.00,-252.00,657
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T07:03:00#12#-1#1,V1_IDENTICAL,basket close,400.00,-159.00,-89.00,-159.00,559
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T07:19:19#14#-1#1,V1_IDENTICAL,basket close,403.00,-97.00,-75.00,-97.00,500
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T07:56:19#16#-1#1,V1_IDENTICAL,basket close,400.00,-1765.00,-78.00,-1765.00,2165
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T09:29:52#18#-1#1,V1_IDENTICAL,basket close,400.00,-179.00,-94.00,-179.00,579
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T10:09:25#20#-1#1,V1_IDENTICAL,basket close,402.00,-261.00,-78.00,-261.00,663
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T10:33:20#22#-1#1,V1_IDENTICAL,basket close,400.00,-83.00,-83.00,-83.00,483
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T11:00:23#24#-1#1,V1_IDENTICAL,basket close,403.00,-91.00,-89.00,-91.00,494
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T11:57:06#26#-1#1,V1_IDENTICAL,basket close,403.00,-1434.00,-83.00,-1434.00,1837
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T12:36:59#28#-1#1,V1_IDENTICAL,basket close,408.00,-2682.00,-83.00,-2682.00,3090
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.01T19:30:02#30#0#2,V1_IDENTICAL,hard stop emergency close,-4567.00,-3710.00,-4574.00,-4574.00,7
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.08T02:00:59#34#0#2,V1_IDENTICAL,hard stop emergency close,-4120.00,-3601.00,-4129.00,-4129.00,9
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T03:51:00#38#1#1,V1_IDENTICAL,basket close,304.00,-1547.00,-74.00,-1547.00,1851
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T06:07:26#40#1#1,V1_IDENTICAL,basket close,303.00,-357.00,-80.00,-357.00,660
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T06:26:26#42#1#1,V1_IDENTICAL,basket close,301.00,-327.00,-75.00,-327.00,628
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T06:40:57#44#1#1,V1_IDENTICAL,basket close,306.00,-551.00,-85.00,-551.00,857
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T07:31:59#46#1#1,V1_IDENTICAL,basket close,306.00,-173.00,-64.00,-173.00,479
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T07:54:09#48#1#1,V1_IDENTICAL,basket close,301.00,-203.00,-88.00,-203.00,504
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.15T08:32:53#50#0#2,V1_IDENTICAL,hard stop emergency close,-3917.00,-3286.00,-3918.00,-3918.00,1
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.22T03:00:53#54#-1#1,V1_IDENTICAL,basket close,305.00,-549.00,-86.00,-549.00,854
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.22T03:06:52#56#-1#1,V1_IDENTICAL,basket close,302.00,-120.00,-87.00,-120.00,422
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.22T03:11:03#58#0#2,V1_IDENTICAL,hard stop emergency close,-3834.00,-3548.00,-3840.00,-3840.00,6
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T01:28:52#62#-1#1,V1_IDENTICAL,basket close,306.00,-1904.00,-87.00,-1904.00,2210
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T01:57:00#64#-1#1,V1_IDENTICAL,basket close,306.00,-388.00,-86.00,-388.00,694
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T02:14:51#66#-1#1,V1_IDENTICAL,basket close,301.00,-1139.00,-89.00,-1139.00,1440
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T02:43:58#68#-1#1,V1_IDENTICAL,basket close,304.00,-186.00,-89.00,-186.00,490
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T03:15:03#70#-1#1,V1_IDENTICAL,basket close,301.00,-808.00,-79.00,-808.00,1109
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T03:53:26#72#-1#1,V1_IDENTICAL,basket close,303.00,-81.00,-81.00,-81.00,384
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T03:58:05#74#-1#1,V1_IDENTICAL,basket close,303.00,-1767.00,-81.00,-1767.00,2070
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T04:09:21#76#-1#1,V1_IDENTICAL,basket close,303.00,-1314.00,-84.00,-1314.00,1617
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T04:46:30#78#-1#1,V1_IDENTICAL,basket close,303.00,-81.00,-81.00,-81.00,384
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T04:56:42#80#-1#1,V1_IDENTICAL,basket close,303.00,-769.00,-79.00,-769.00,1072
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T11:03:03#82#1#1,V1_IDENTICAL,basket close,301.00,-302.00,-87.00,-302.00,603
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T11:52:21#84#1#1,V1_IDENTICAL,basket close,305.00,-598.00,-63.00,-598.00,903
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T13:20:03#86#1#1,V1_IDENTICAL,basket close,301.00,-566.00,-79.00,-566.00,867
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T13:44:25#88#1#1,V1_IDENTICAL,basket close,301.00,-82.00,-81.00,-82.00,383
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T16:31:28#90#1#1,V1_IDENTICAL,basket close,302.00,-79.00,-79.00,-79.00,381
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.26T16:36:03#92#1#1,V1_IDENTICAL,basket close,304.00,-1014.00,-81.00,-1014.00,1318
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.29T06:33:52#94#1#1,V1_IDENTICAL,basket close,303.00,-574.00,-81.00,-574.00,877
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.29T06:51:25#96#1#1,V1_IDENTICAL,basket close,301.00,-89.00,-87.00,-89.00,390
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.29T11:11:37#98#1#1,V1_IDENTICAL,basket close,303.00,-594.00,-78.00,-594.00,897
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.29T13:53:00#100#-1#1,V1_IDENTICAL,basket close,303.00,-225.00,-84.00,-225.00,528
W3_ON_JUNE_C_SHADOW_ON_50000_M5_20260601_20260630,GOLD#2026.06.29T14:31:52#102#-1#1,V1_IDENTICAL,basket close,303.00,-102.00,-66.00,-102.00,405
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T02:06:03#2#1#1,V1_MOSTLY_IDENTICAL,basket close,403.00,-544.00,-87.00,-544.00,947
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T09:10:17#4#1#1,V1_MOSTLY_IDENTICAL,basket close,403.00,-67.00,-67.00,-67.00,470
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T12:00:52#6#1#1,V1_MOSTLY_IDENTICAL,basket close,409.00,-82.00,-49.00,-82.00,491
W3_ON_ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529,GOLD#2026.04.01T12:06:00#8#1#1,V1_MOSTLY_IDENTICAL,basket close,408.00,-2051.00,-41.00,-2051.00,2459
