canonical_basket,capital,hedged,net_pl_yen,norm_loss_slope_3min,trigger_fired,no_warning_rapid_drop_class,data_source
GOLD#2026.06.01T19:30:02#30,50000,true,-4567.0,0.1316,true,RAPID_DROP_TRIGGER_MET,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.08T02:00:59#34,50000,true,-4120.0,0.0867,true,RAPID_DROP_TRIGGER_MET,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.15T08:32:53#50,50000,true,-3917.0,0.1252,true,RAPID_DROP_TRIGGER_MET,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.22T03:11:03#58,50000,true,-3834.0,0.1843,true,RAPID_DROP_TRIGGER_MET,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.02T05:51:59#32,100000,true,-8496.0,0.0416,false,BELOW_TRIGGER_SLOW_OR_SPARSE,PROSPECTIVE_JUNE2026_DERIVED
GOLD#2026.06.16T05:49:40#40,100000,true,-7957.0,0.0333,false,BELOW_TRIGGER_SLOW_OR_SPARSE,PROSPECTIVE_JUNE2026_DERIVED
