basket_id,sample_type,close_reason,final_pl,entry_rows,hedge_rows,close_rows,max_concurrent_positions,leg_pl_sum,gross_leg_abs_sum,gross_to_net_ratio,margin_at_hs_min,margin_at_hedge_min,open_time_gate
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0038,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0039,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0040,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0041,in6run,BasketClose,401.00,0,0,1,1,401,401,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0042,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0043,in6run,HardStop,-7422.00,0,1,2,2,-7422,36086,4.86,NA,10618.4,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0044,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0045,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0046,in6run,BasketClose,401.00,0,0,1,1,401,401,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0047,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0048,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0049,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0050,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0051,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0052,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0053,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0054,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0055,in6run,BasketClose,403.00,0,0,1,1,403,403,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0056,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0057,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0058,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0059,in6run,BasketClose,407.00,1,0,1,1,407,407,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_APR_MAY_M5_20260401_20260529_B0060,in6run,DEINIT_ACTIVE_BASKET,-7138.00,0,1,0,2,NA,NA,NA,NA,10597.4,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0001,in6run,HardStop,-8018.00,1,0,1,1,-8018,8018,1.00,9743.9,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0002,in6run,BasketClose,404.00,0,0,1,1,404,404,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0003,in6run,BasketClose,408.00,0,0,1,1,408,408,1.00,NA,NA,INTERVAL_ONLY
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0004,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0005,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0006,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0007,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0008,in6run,BasketClose,408.00,1,0,1,1,408,408,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0009,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0010,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0011,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0012,in6run,BasketClose,403.00,1,0,1,1,403,403,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0013,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0014,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0015,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0016,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0017,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0018,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0019,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0020,in6run,BasketClose,400.00,1,0,1,1,400,400,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0021,in6run,BasketClose,402.00,1,0,1,1,402,402,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0022,in6run,BasketClose,405.00,1,0,1,1,405,405,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0023,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0024,in6run,BasketClose,401.00,1,0,1,1,401,401,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0025,in6run,BasketClose,404.00,1,0,1,1,404,404,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0026,in6run,BasketClose,406.00,1,0,1,1,406,406,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0027,in6run,BasketClose,409.00,1,0,1,1,409,409,1.00,NA,NA,EXACT
ML_C_SHADOW_ON_100000_MAR_MAY_M5_20260301_20260529_B0028,in6run,HardStop,-8201.00,0,0,1,1,-8201,8201,1.00,10280.3,NA,INTERVAL_ONLY
